P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
1060,dark indian snow cornflower cream,Manufacturer#3,Brand#33,STANDARD POLISHED BRASS,46,SM CASE,961,final ideas. fina
1061,pink beige orange pale powder,Manufacturer#1,Brand#15,MEDIUM BURNISHED TIN,50,LG BAG,962,n depende
1062,floral aquamarine olive red spring,Manufacturer#1,Brand#12,LARGE POLISHED TIN,12,JUMBO DRUM,963,quests are stealth
1063,lavender thistle navajo grey tan,Manufacturer#5,Brand#55,SMALL BURNISHED BRASS,42,MED BAG,964," pinto be"
1064,frosted orchid blanched seashell steel,Manufacturer#3,Brand#31,SMALL PLATED NICKEL,4,SM PKG,965,onic pinto beans
1065,coral beige sandy olive steel,Manufacturer#4,Brand#43,STANDARD PLATED TIN,14,JUMBO CASE,966,ing deposits. blith
1066,khaki spring ghost orchid metallic,Manufacturer#3,Brand#31,SMALL BURNISHED NICKEL,30,SM CASE,967,fully across the unus
1067,medium brown blanched grey chocolate,Manufacturer#3,Brand#33,SMALL BRUSHED BRASS,39,MED BOX,968,final plate
1068,antique rosy frosted almond tan,Manufacturer#1,Brand#11,ECONOMY ANODIZED NICKEL,33,MED BOX,969,ously regular
1069,mint linen seashell khaki bisque,Manufacturer#5,Brand#55,SMALL PLATED TIN,1,LG DRUM,970," the carefu"
1070,lawn mint deep dim blush,Manufacturer#4,Brand#45,SMALL POLISHED BRASS,31,WRAP DRUM,971," beans al"
1071,pink orchid tan cyan navy,Manufacturer#2,Brand#22,SMALL BURNISHED STEEL,23,WRAP DRUM,972,ong the c
1072,floral cornsilk grey purple saddle,Manufacturer#2,Brand#22,LARGE ANODIZED BRASS,31,SM PACK,973,"ithes-- furious,"
1073,midnight cyan bisque white yellow,Manufacturer#2,Brand#22,MEDIUM BRUSHED BRASS,14,LG PACK,974,posits. furiously 
1074,midnight peach purple coral azure,Manufacturer#5,Brand#53,STANDARD ANODIZED NICKEL,46,LG PACK,975,silent foxes nag furi
1075,cream honeydew burlywood light pale,Manufacturer#2,Brand#21,LARGE ANODIZED NICKEL,33,LG PACK,976," carefully un"
1076,lime black dim lemon mint,Manufacturer#1,Brand#13,PROMO BRUSHED BRASS,18,JUMBO CASE,977,. carefully enticing i
1077,gainsboro navajo mint cornflower grey,Manufacturer#4,Brand#41,STANDARD ANODIZED TIN,49,MED BAG,978,into beans. 
1078,blanched misty turquoise black plum,Manufacturer#4,Brand#41,SMALL BRUSHED NICKEL,22,WRAP CAN,979,ly among the care
1079,plum chartreuse hot beige lime,Manufacturer#2,Brand#25,STANDARD ANODIZED COPPER,22,SM CASE,980,"gular, regu"
1080,khaki light black ghost yellow,Manufacturer#5,Brand#52,STANDARD PLATED COPPER,21,JUMBO PKG,981," to the reg"
1081,dark powder hot chartreuse moccasin,Manufacturer#1,Brand#15,PROMO POLISHED NICKEL,44,SM PKG,982,s. depo
1082,cream magenta lavender firebrick purple,Manufacturer#1,Brand#11,SMALL ANODIZED TIN,45,JUMBO PKG,983," throughout the"
1083,almond khaki chartreuse hot seashell,Manufacturer#1,Brand#11,ECONOMY PLATED COPPER,20,JUMBO CASE,984,out the ca
1084,gainsboro blanched chiffon orchid dim,Manufacturer#2,Brand#22,STANDARD BRUSHED TIN,10,JUMBO BAG,985,ptotes. carefully ruth
1085,floral frosted seashell light red,Manufacturer#4,Brand#45,PROMO PLATED COPPER,26,LG CAN,986,anent notornis about 
1086,wheat lemon powder seashell green,Manufacturer#4,Brand#45,LARGE BRUSHED COPPER,49,SM DRUM,987,ecial request
1087,purple maroon cornflower red thistle,Manufacturer#4,Brand#42,LARGE ANODIZED COPPER,32,MED CASE,988,fluffily silent accou
1088,turquoise papaya dim hot navajo,Manufacturer#3,Brand#35,SMALL ANODIZED STEEL,7,MED CAN,989,above the furious
1089,slate goldenrod purple peach dim,Manufacturer#2,Brand#24,LARGE BURNISHED TIN,26,WRAP CASE,990,dolites sleep acros
1090,floral spring navy misty azure,Manufacturer#1,Brand#13,SMALL PLATED TIN,6,MED PKG,991,furiously reg
1091,midnight blue misty steel ghost,Manufacturer#2,Brand#22,LARGE BURNISHED STEEL,45,SM PKG,992,kly b
1092,sienna dodger olive misty deep,Manufacturer#1,Brand#12,STANDARD ANODIZED BRASS,3,SM PKG,993,y bold asympt
1093,green azure puff metallic lace,Manufacturer#2,Brand#25,STANDARD ANODIZED TIN,9,JUMBO BOX,994,ach evenly regu
1094,papaya moccasin powder rose bisque,Manufacturer#4,Brand#42,SMALL ANODIZED COPPER,2,SM PKG,995,excuses use 
1095,green blue royal coral indian,Manufacturer#3,Brand#35,MEDIUM BURNISHED TIN,24,JUMBO DRUM,996,iously. silent 
1096,frosted burlywood honeydew pink lawn,Manufacturer#5,Brand#51,SMALL PLATED NICKEL,33,LG DRUM,997,furiousl
1097,dim antique dark blanched pink,Manufacturer#3,Brand#31,ECONOMY BRUSHED STEEL,1,JUMBO CASE,998,unts. quickly
1098,lace hot bisque firebrick lawn,Manufacturer#2,Brand#21,ECONOMY POLISHED STEEL,44,JUMBO BAG,999,e ironic a
1099,coral orchid grey lavender misty,Manufacturer#3,Brand#32,PROMO PLATED COPPER,43,LG DRUM,1000," idly silent dol"
1100,lawn navajo white honeydew steel,Manufacturer#4,Brand#41,ECONOMY BRUSHED STEEL,8,MED PKG,1001,regular pinto bea
1101,burlywood moccasin steel grey powder,Manufacturer#5,Brand#53,STANDARD POLISHED BRASS,21,JUMBO BOX,1002,s. theodolites 
1102,peach chocolate burnished steel khaki,Manufacturer#4,Brand#45,PROMO PLATED COPPER,21,SM CAN,1003,", bol"
1103,midnight chocolate slate rosy lace,Manufacturer#5,Brand#53,ECONOMY ANODIZED BRASS,35,LG DRUM,1004,lyly. carefully 
1104,navajo goldenrod powder grey violet,Manufacturer#2,Brand#23,MEDIUM BRUSHED TIN,22,MED BAG,1005,ndencies. furio
1105,brown olive black seashell lavender,Manufacturer#2,Brand#25,MEDIUM PLATED COPPER,7,JUMBO DRUM,1006,ely regular theodo
1106,brown floral light black orchid,Manufacturer#1,Brand#14,MEDIUM ANODIZED TIN,25,WRAP BAG,1007,ructions are
1107,forest sandy wheat blue snow,Manufacturer#3,Brand#34,ECONOMY BRUSHED COPPER,47,LG DRUM,1008,oss the fluffily final
1108,azure dark sienna black wheat,Manufacturer#1,Brand#13,MEDIUM POLISHED BRASS,24,WRAP CASE,1009,hely ironic
1109,azure lime gainsboro orchid firebrick,Manufacturer#5,Brand#54,ECONOMY BURNISHED NICKEL,13,JUMBO PACK,1010,nal packages boost flu
1110,light lavender smoke gainsboro pink,Manufacturer#4,Brand#44,STANDARD BURNISHED TIN,41,WRAP CAN,1011,es use blithely ev
1111,sienna powder magenta peach drab,Manufacturer#1,Brand#11,LARGE BRUSHED COPPER,41,WRAP CAN,1012,d pinto beans cajole. 
1112,orchid dodger blush seashell chiffon,Manufacturer#1,Brand#11,MEDIUM BRUSHED COPPER,21,JUMBO CASE,1013," use package"
1113,cornflower navy smoke chartreuse snow,Manufacturer#3,Brand#33,ECONOMY BURNISHED STEEL,39,SM PACK,1014," blithely regular "
1114,lime moccasin seashell orange coral,Manufacturer#4,Brand#43,LARGE POLISHED COPPER,43,MED DRUM,1015,nts. ironic
1115,green saddle bisque goldenrod peach,Manufacturer#2,Brand#24,PROMO PLATED NICKEL,47,LG CAN,1016,yly regula
1116,saddle tan cyan red navajo,Manufacturer#3,Brand#34,ECONOMY ANODIZED TIN,49,JUMBO CASE,1017,etly clo
1117,salmon saddle mint snow antique,Manufacturer#1,Brand#13,PROMO BURNISHED COPPER,28,WRAP PACK,1018,s use blithely. fl
1118,midnight yellow steel dodger rose,Manufacturer#5,Brand#55,SMALL POLISHED NICKEL,37,SM BOX,1019,encies affix acr
1119,brown mint lavender moccasin slate,Manufacturer#1,Brand#14,ECONOMY BRUSHED NICKEL,24,WRAP JAR,1020,s according
1120,steel slate black purple indian,Manufacturer#2,Brand#22,SMALL PLATED TIN,1,MED CASE,1021,bout the slow foxes.
1121,rose lemon sky beige aquamarine,Manufacturer#3,Brand#35,LARGE BRUSHED STEEL,25,LG JAR,1022,ven instructi
1122,tomato thistle grey slate dark,Manufacturer#4,Brand#44,STANDARD BRUSHED NICKEL,7,SM BAG,1023,bold theod
1123,olive lavender saddle green grey,Manufacturer#2,Brand#23,ECONOMY BURNISHED NICKEL,29,WRAP BAG,1024," pinto beans; slyl"
1124,green magenta lime dim brown,Manufacturer#2,Brand#22,MEDIUM BURNISHED TIN,23,WRAP JAR,1025,ckages nag carefully
1125,peach deep cornflower thistle brown,Manufacturer#2,Brand#23,SMALL PLATED NICKEL,12,WRAP DRUM,1026,uickly final deposit
1126,sky chartreuse drab violet goldenrod,Manufacturer#2,Brand#23,MEDIUM BURNISHED TIN,27,LG PACK,1027,"he ironic, iron"
1127,black drab deep blue maroon,Manufacturer#2,Brand#22,SMALL PLATED STEEL,37,SM PKG,1028,hockey players. even 
1128,grey tan lawn violet cornflower,Manufacturer#5,Brand#52,STANDARD POLISHED STEEL,19,SM CAN,1029,hely so
1129,tan orchid yellow hot rosy,Manufacturer#4,Brand#44,SMALL ANODIZED TIN,45,SM JAR,1030,odolite
1130,beige blue wheat medium khaki,Manufacturer#4,Brand#45,STANDARD PLATED STEEL,27,SM DRUM,1031,ges. packages nag sl
1131,aquamarine maroon coral blanched steel,Manufacturer#3,Brand#33,MEDIUM PLATED STEEL,49,WRAP BOX,1032,ut the final deposits
1132,blanched rose black lawn dark,Manufacturer#2,Brand#22,STANDARD PLATED TIN,19,SM PKG,1033,es. slyly bold pa
1133,aquamarine thistle pink cornflower pale,Manufacturer#5,Brand#51,SMALL ANODIZED TIN,43,JUMBO PKG,1034,sily ironic reques
1134,sandy antique papaya forest powder,Manufacturer#1,Brand#14,PROMO PLATED BRASS,10,SM PACK,1035,. bli
1135,forest beige turquoise maroon purple,Manufacturer#1,Brand#13,MEDIUM PLATED STEEL,27,WRAP JAR,1036,cross the ironi
1136,floral ivory drab cyan black,Manufacturer#4,Brand#41,PROMO POLISHED NICKEL,38,SM JAR,1037,ckly 
1137,misty deep moccasin chocolate cyan,Manufacturer#4,Brand#44,LARGE PLATED BRASS,21,WRAP JAR,1038,ong the quickly fina
1138,magenta frosted gainsboro forest orchid,Manufacturer#1,Brand#14,SMALL PLATED NICKEL,30,LG PKG,1039,"ound the final,"
1139,ghost violet wheat saddle almond,Manufacturer#4,Brand#41,ECONOMY BRUSHED TIN,13,WRAP CASE,1040,carefully e
1140,navy sky dark snow peach,Manufacturer#1,Brand#15,LARGE BURNISHED BRASS,22,SM DRUM,1041,latelets sleep at 
1141,orchid lemon grey brown moccasin,Manufacturer#5,Brand#52,LARGE BURNISHED TIN,45,JUMBO CASE,1042,ounts bre
1142,violet plum burlywood navajo cyan,Manufacturer#4,Brand#44,ECONOMY ANODIZED NICKEL,36,LG CAN,1043,ar requests wake ca
1143,navajo lawn cornsilk firebrick magenta,Manufacturer#2,Brand#22,MEDIUM POLISHED COPPER,20,LG CAN,1044,ts? ste
1144,saddle plum lace powder slate,Manufacturer#2,Brand#25,ECONOMY PLATED NICKEL,23,WRAP JAR,1045,"re. ironic, pen"
1145,dim black maroon grey cornsilk,Manufacturer#2,Brand#24,PROMO ANODIZED NICKEL,30,SM PACK,1046,"ing, regular "
1146,papaya metallic royal peach seashell,Manufacturer#2,Brand#23,STANDARD BURNISHED NICKEL,26,SM PKG,1047,. furiously silent sau
1147,smoke firebrick yellow dark cornsilk,Manufacturer#1,Brand#15,ECONOMY BURNISHED BRASS,14,MED CASE,1048," the acco"
1148,smoke medium chartreuse orchid light,Manufacturer#5,Brand#52,MEDIUM ANODIZED TIN,8,SM PKG,1049," express, special a"
1149,peru sky almond aquamarine drab,Manufacturer#4,Brand#42,STANDARD POLISHED BRASS,35,MED BOX,1050,s wake furiousl
1150,orange tomato maroon puff pale,Manufacturer#2,Brand#21,LARGE POLISHED TIN,20,WRAP CAN,1051," theodol"
1151,drab cyan orange blush forest,Manufacturer#4,Brand#44,ECONOMY POLISHED NICKEL,23,MED PACK,1052,ts sleep 
1152,navy turquoise antique bisque cyan,Manufacturer#5,Brand#52,PROMO BRUSHED TIN,32,LG BAG,1053,s boos
1153,black metallic tomato khaki rosy,Manufacturer#5,Brand#54,MEDIUM BRUSHED TIN,35,LG CAN,1054,uction
1154,peach peru black pale floral,Manufacturer#1,Brand#15,STANDARD BURNISHED NICKEL,8,JUMBO DRUM,1055," express"
1155,light honeydew moccasin spring turquoise,Manufacturer#2,Brand#22,MEDIUM PLATED STEEL,40,LG BOX,1056,sits about the slyl
1156,frosted blue ghost purple coral,Manufacturer#5,Brand#55,LARGE PLATED BRASS,8,JUMBO CASE,1057," even requests. deposi"
1157,chartreuse lawn peru peach cornflower,Manufacturer#2,Brand#21,SMALL ANODIZED STEEL,1,JUMBO PKG,1058,uctions use blithely
1158,salmon rosy goldenrod dodger violet,Manufacturer#2,Brand#21,LARGE PLATED COPPER,16,LG BOX,1059,pecial pa
1159,tan sky gainsboro green orange,Manufacturer#1,Brand#13,ECONOMY POLISHED BRASS,9,SM BAG,1060,fily cl
1160,spring linen antique papaya yellow,Manufacturer#3,Brand#33,SMALL BRUSHED STEEL,3,JUMBO DRUM,1061,ular p
1161,sienna peach steel green light,Manufacturer#4,Brand#41,LARGE PLATED STEEL,2,WRAP PKG,1062,nusual ac
1162,peach wheat dark sandy chartreuse,Manufacturer#5,Brand#54,LARGE BURNISHED BRASS,49,LG CAN,1063,mptotes might 
1163,moccasin drab olive metallic papaya,Manufacturer#3,Brand#33,LARGE BRUSHED BRASS,13,LG PACK,1064,rave instructions abo
1164,lavender hot ivory chartreuse burlywood,Manufacturer#5,Brand#52,STANDARD ANODIZED STEEL,6,LG PACK,1065," regular requests lo"
1165,blush yellow indian cyan orchid,Manufacturer#4,Brand#41,STANDARD BRUSHED NICKEL,4,LG PKG,1066,ly unusual accou
1166,salmon burlywood linen forest antique,Manufacturer#3,Brand#35,STANDARD ANODIZED NICKEL,14,LG JAR,1067,re furi
1167,olive khaki drab seashell powder,Manufacturer#2,Brand#21,STANDARD PLATED BRASS,49,MED DRUM,1068,ns haggle
1168,frosted cornflower misty plum magenta,Manufacturer#2,Brand#22,LARGE BRUSHED NICKEL,42,MED CASE,1069,he express ins
1169,sienna beige burlywood chocolate hot,Manufacturer#2,Brand#25,MEDIUM PLATED TIN,8,LG JAR,1070,e quickly final ex
1170,navajo lemon violet sandy frosted,Manufacturer#5,Brand#53,SMALL ANODIZED STEEL,10,WRAP DRUM,1071,d the theodolites
1171,sienna gainsboro royal black lavender,Manufacturer#4,Brand#45,MEDIUM BRUSHED BRASS,27,WRAP DRUM,1072,equests x-ray towa
1172,tomato plum grey chartreuse floral,Manufacturer#4,Brand#45,MEDIUM POLISHED COPPER,15,WRAP PKG,1073,thely ironic idea
1173,sienna blanched pale red spring,Manufacturer#1,Brand#14,ECONOMY PLATED NICKEL,37,JUMBO JAR,1074,inst the fluffil
1174,cream orange seashell orchid plum,Manufacturer#4,Brand#42,STANDARD POLISHED NICKEL,16,SM CASE,1075,heodolites. care
1175,white peru burnished moccasin seashell,Manufacturer#2,Brand#24,MEDIUM POLISHED TIN,29,JUMBO JAR,1076,. regular depos
1176,moccasin orchid pale blue goldenrod,Manufacturer#4,Brand#42,PROMO PLATED NICKEL,22,WRAP CAN,1077,he slyly unusu
1177,hot medium cornflower dark rose,Manufacturer#5,Brand#54,ECONOMY BRUSHED NICKEL,42,LG CASE,1078,quests along the furi
1178,plum azure almond coral dim,Manufacturer#2,Brand#24,MEDIUM POLISHED TIN,46,WRAP CAN,1079,usly across the car
1179,white magenta steel khaki floral,Manufacturer#4,Brand#43,ECONOMY ANODIZED COPPER,19,LG DRUM,1080,ending pla
1180,steel puff cornflower orange thistle,Manufacturer#1,Brand#15,LARGE POLISHED COPPER,8,MED CASE,1081,gular accounts. quickl
1181,violet burnished firebrick slate moccasin,Manufacturer#2,Brand#23,PROMO BRUSHED BRASS,17,LG BAG,1082,rious dolphins.
1182,metallic maroon turquoise puff lime,Manufacturer#1,Brand#15,LARGE POLISHED COPPER,24,SM JAR,1083," slyly abo"
1183,turquoise indian cornsilk pink seashell,Manufacturer#2,Brand#25,LARGE POLISHED STEEL,25,WRAP BOX,1084,arefully against
1184,linen slate violet bisque mint,Manufacturer#1,Brand#14,MEDIUM BURNISHED NICKEL,32,WRAP PKG,1085,ngside of th
1185,mint lawn sky ivory lavender,Manufacturer#2,Brand#21,PROMO PLATED TIN,12,SM PACK,1086,onically final depos
1186,sky frosted dodger peru moccasin,Manufacturer#4,Brand#43,PROMO BURNISHED COPPER,13,LG CASE,1087," sleep c"
1187,royal powder goldenrod gainsboro firebrick,Manufacturer#1,Brand#15,MEDIUM POLISHED COPPER,44,WRAP JAR,1088,r accounts affix ab
1188,khaki sky misty sandy tan,Manufacturer#3,Brand#35,LARGE BRUSHED STEEL,42,LG CAN,1089," deposits "
1189,dodger moccasin chocolate burlywood drab,Manufacturer#5,Brand#51,STANDARD POLISHED COPPER,20,JUMBO JAR,1090,ts detect after the
1190,magenta misty lawn salmon navajo,Manufacturer#2,Brand#21,SMALL BRUSHED BRASS,24,MED PACK,1091," instructio"
1191,rosy honeydew powder frosted navy,Manufacturer#1,Brand#13,LARGE BURNISHED TIN,49,SM CASE,1092," packages sle"
1192,aquamarine ghost navajo gainsboro chartreuse,Manufacturer#4,Brand#42,SMALL POLISHED TIN,15,LG CAN,1093,out the specia
1193,olive purple turquoise cornflower honeydew,Manufacturer#1,Brand#11,STANDARD POLISHED NICKEL,45,SM CAN,1094,kly accounts
1194,salmon moccasin lemon azure cyan,Manufacturer#5,Brand#53,MEDIUM BRUSHED STEEL,35,JUMBO DRUM,1095,ly re
1195,plum olive thistle salmon khaki,Manufacturer#1,Brand#13,MEDIUM PLATED COPPER,19,WRAP DRUM,1096,by the
1196,gainsboro dim cyan frosted thistle,Manufacturer#1,Brand#13,ECONOMY PLATED STEEL,23,MED JAR,1097,asymptotes haggle b
1197,spring saddle sandy slate antique,Manufacturer#5,Brand#53,MEDIUM POLISHED STEEL,26,JUMBO DRUM,1098,efully f
1198,plum firebrick white mint beige,Manufacturer#5,Brand#52,MEDIUM BURNISHED STEEL,26,MED BAG,1099,ronic
1199,rosy dim light misty rose,Manufacturer#1,Brand#12,LARGE ANODIZED BRASS,1,LG PKG,1100,ong the q
1200,coral green black chocolate mint,Manufacturer#1,Brand#11,PROMO BURNISHED TIN,42,SM PKG,1101,ng th
1201,indian lavender cornflower metallic lawn,Manufacturer#5,Brand#54,LARGE POLISHED COPPER,21,JUMBO DRUM,1102,to bean
1202,lemon plum chartreuse hot purple,Manufacturer#1,Brand#14,PROMO BURNISHED TIN,17,LG BAG,1103,final instruct
1203,coral navy aquamarine hot turquoise,Manufacturer#5,Brand#51,PROMO PLATED STEEL,35,WRAP JAR,1104,ld theodolites 
1204,cyan blanched red steel sky,Manufacturer#2,Brand#25,MEDIUM POLISHED NICKEL,15,LG JAR,1105,out the e
1205,beige azure red plum olive,Manufacturer#2,Brand#22,STANDARD BRUSHED COPPER,22,LG BOX,1106,s wake flu
1206,yellow turquoise peru purple cornflower,Manufacturer#3,Brand#34,MEDIUM POLISHED NICKEL,43,MED CASE,1107,tes boost sl
1207,azure magenta powder salmon orange,Manufacturer#4,Brand#45,MEDIUM POLISHED STEEL,41,MED JAR,1108,nstruct
1208,purple azure burlywood chocolate metallic,Manufacturer#1,Brand#11,SMALL POLISHED COPPER,27,JUMBO PACK,1109,"cial, special pinto"
1209,salmon bisque aquamarine peach moccasin,Manufacturer#5,Brand#52,STANDARD BURNISHED COPPER,32,JUMBO BAG,1110,leep.
1210,misty chocolate sandy firebrick grey,Manufacturer#5,Brand#54,SMALL PLATED BRASS,23,SM DRUM,1111,lites 
1211,blush goldenrod purple green indian,Manufacturer#3,Brand#35,SMALL ANODIZED TIN,39,SM CAN,1112,gedly final ideas
1212,cyan firebrick medium orchid white,Manufacturer#1,Brand#12,LARGE ANODIZED TIN,45,LG PACK,1113," unusual accounts ab"
1213,sandy khaki smoke puff forest,Manufacturer#1,Brand#13,STANDARD PLATED TIN,50,JUMBO JAR,1114,ly slyly even accounts
1214,burnished firebrick ivory peru steel,Manufacturer#5,Brand#51,LARGE PLATED TIN,33,JUMBO CASE,1115," according to the"
1215,tan turquoise dodger linen burnished,Manufacturer#5,Brand#52,ECONOMY ANODIZED BRASS,14,SM DRUM,1116,ully even accounts.
1216,cyan cream forest magenta smoke,Manufacturer#4,Brand#41,MEDIUM POLISHED BRASS,14,JUMBO PKG,1117,ly final dolphins are
1217,orange ghost pale dim beige,Manufacturer#5,Brand#52,MEDIUM ANODIZED COPPER,29,SM DRUM,1118,cajole carefully 
1218,rosy gainsboro maroon blue burlywood,Manufacturer#2,Brand#22,STANDARD BRUSHED TIN,34,SM CASE,1119,ular 
1219,midnight salmon cream indian ghost,Manufacturer#4,Brand#43,LARGE ANODIZED COPPER,21,WRAP CASE,1120," ideas"
1220,mint tomato ivory magenta goldenrod,Manufacturer#3,Brand#31,SMALL BURNISHED TIN,18,JUMBO PKG,1121,regular packag
1221,rosy wheat royal beige coral,Manufacturer#2,Brand#23,LARGE BURNISHED BRASS,5,WRAP CASE,1122,o the blit
1222,floral peru sandy white dim,Manufacturer#2,Brand#21,MEDIUM POLISHED TIN,8,MED JAR,1123,lar foxes alongs
1223,sky yellow mint chiffon wheat,Manufacturer#1,Brand#12,MEDIUM ANODIZED STEEL,16,SM DRUM,1124,al foxes. fluff
1224,seashell navy khaki hot purple,Manufacturer#3,Brand#35,SMALL BURNISHED NICKEL,29,SM PACK,1125," deposit"
1225,chocolate beige cornsilk lawn olive,Manufacturer#3,Brand#32,ECONOMY BURNISHED NICKEL,38,WRAP PKG,1126,al pinto 
1226,purple burnished linen dim chocolate,Manufacturer#5,Brand#52,LARGE POLISHED NICKEL,36,WRAP PKG,1127,jole blithely bold 
1227,green hot drab cornflower blush,Manufacturer#1,Brand#14,PROMO PLATED NICKEL,2,SM CAN,1128,es. slyly regular acc
1228,blanched drab deep spring orange,Manufacturer#3,Brand#34,ECONOMY BURNISHED TIN,2,JUMBO PACK,1129,the courts. carefu
1229,bisque green indian dark yellow,Manufacturer#2,Brand#24,LARGE BURNISHED STEEL,47,JUMBO DRUM,1130,s. instructions nag 
1230,olive navajo navy gainsboro spring,Manufacturer#5,Brand#52,STANDARD BRUSHED TIN,12,MED JAR,1131,. furiousl
1231,navy tan red dark seashell,Manufacturer#4,Brand#42,LARGE ANODIZED NICKEL,4,JUMBO CAN,1132,usly express
1232,peru yellow papaya saddle beige,Manufacturer#4,Brand#43,MEDIUM PLATED NICKEL,2,SM BAG,1133," the blithely slo"
1233,blanched misty hot peach cyan,Manufacturer#2,Brand#21,SMALL BURNISHED BRASS,32,MED BOX,1134,symptotes run
1234,thistle cornsilk cornflower maroon dodger,Manufacturer#4,Brand#42,SMALL BRUSHED STEEL,28,LG JAR,1135,e quickly ruthles
1235,thistle salmon snow cornflower midnight,Manufacturer#4,Brand#44,SMALL PLATED NICKEL,12,SM BAG,1136," furiously express "
1236,dim rose rosy almond purple,Manufacturer#4,Brand#42,MEDIUM ANODIZED NICKEL,26,LG CAN,1137,s sleep. furiously iro
1237,coral rose puff chiffon green,Manufacturer#2,Brand#25,STANDARD ANODIZED BRASS,10,MED DRUM,1138,ccount
1238,steel indian magenta royal grey,Manufacturer#1,Brand#11,ECONOMY PLATED BRASS,13,MED CASE,1139," fluffily special"
1239,purple dodger lime peach burnished,Manufacturer#5,Brand#51,PROMO BURNISHED STEEL,24,LG CASE,1140,structions? quickly i
1240,grey orchid sandy wheat midnight,Manufacturer#2,Brand#22,ECONOMY BURNISHED NICKEL,19,MED JAR,1141,r ideas hang ag
1241,almond magenta cornsilk metallic blue,Manufacturer#4,Brand#41,STANDARD BRUSHED BRASS,10,LG DRUM,1142,aggle
1242,dodger brown ivory blue pink,Manufacturer#3,Brand#31,ECONOMY ANODIZED COPPER,25,MED DRUM,1143,uriously pen
1243,lemon lace ivory khaki wheat,Manufacturer#2,Brand#23,LARGE BRUSHED NICKEL,47,JUMBO BOX,1144,nusua
1244,grey deep midnight tomato cream,Manufacturer#1,Brand#12,MEDIUM PLATED NICKEL,24,MED PACK,1145,ding accounts.
1245,ivory thistle papaya puff powder,Manufacturer#3,Brand#33,SMALL POLISHED NICKEL,4,WRAP PACK,1146," deposits x-ray care"
1246,aquamarine chartreuse deep magenta olive,Manufacturer#1,Brand#11,STANDARD POLISHED COPPER,27,JUMBO DRUM,1147,press pinto bean
1247,goldenrod papaya floral blanched wheat,Manufacturer#3,Brand#35,SMALL POLISHED BRASS,18,WRAP JAR,1148,rays across the reque
1248,goldenrod honeydew cornflower red midnight,Manufacturer#3,Brand#32,SMALL BURNISHED STEEL,33,LG CAN,1149,"he express, reg"
1249,bisque deep cornsilk honeydew tomato,Manufacturer#3,Brand#35,STANDARD ANODIZED COPPER,1,WRAP CASE,1150,lar requ
1250,hot black puff peru almond,Manufacturer#5,Brand#51,SMALL POLISHED NICKEL,10,LG BAG,1151," haggle quickly des"
1251,sienna indian royal green smoke,Manufacturer#1,Brand#12,STANDARD ANODIZED STEEL,16,JUMBO BAG,1152,ins haggle 
1252,deep firebrick slate dim misty,Manufacturer#2,Brand#21,PROMO BRUSHED STEEL,23,JUMBO BOX,1153,sleep 
1253,burlywood rosy turquoise coral mint,Manufacturer#1,Brand#14,LARGE ANODIZED NICKEL,9,SM PACK,1154," sublate fu"
1254,turquoise white papaya grey puff,Manufacturer#2,Brand#24,PROMO BRUSHED STEEL,7,WRAP PACK,1155,efully express pi
1255,cornflower hot red aquamarine powder,Manufacturer#5,Brand#52,LARGE POLISHED NICKEL,1,WRAP BOX,1156," somas wa"
1256,maroon medium salmon ghost dim,Manufacturer#5,Brand#53,PROMO POLISHED BRASS,16,WRAP DRUM,1157,y pending id
1257,misty moccasin yellow gainsboro lavender,Manufacturer#5,Brand#52,MEDIUM BURNISHED BRASS,1,SM BAG,1158,accounts sleep quickly
1258,rose brown violet chocolate saddle,Manufacturer#5,Brand#52,MEDIUM BRUSHED STEEL,30,LG DRUM,1159,", final "
1259,lavender violet bisque maroon azure,Manufacturer#5,Brand#54,LARGE POLISHED NICKEL,43,MED CASE,1160,nts boost accou
1260,ivory steel plum gainsboro sienna,Manufacturer#4,Brand#43,PROMO BRUSHED STEEL,15,LG PKG,1161,ular instructions x-ra
1261,pink peru turquoise salmon forest,Manufacturer#5,Brand#55,MEDIUM PLATED NICKEL,21,LG BOX,1162,reque
1262,saddle olive rosy tomato slate,Manufacturer#3,Brand#35,SMALL BRUSHED BRASS,37,WRAP CASE,1163,sual ideas detect am
1263,olive puff magenta lace almond,Manufacturer#4,Brand#44,STANDARD ANODIZED COPPER,34,MED PACK,1164,s. boldly regular ac
1264,snow blush forest coral saddle,Manufacturer#4,Brand#42,STANDARD ANODIZED NICKEL,7,MED JAR,1165,the quickly final t
1265,salmon chartreuse grey pink burnished,Manufacturer#5,Brand#53,LARGE BURNISHED COPPER,8,JUMBO CAN,1166,areful platelets a
1266,orchid hot brown tomato cream,Manufacturer#3,Brand#33,SMALL ANODIZED TIN,10,LG PACK,1167,instructions. f
1267,spring salmon violet lime ghost,Manufacturer#1,Brand#11,PROMO BURNISHED BRASS,36,MED CASE,1168,boost daringly against
1268,tomato rosy beige yellow tan,Manufacturer#3,Brand#31,ECONOMY POLISHED STEEL,47,LG PKG,1169,s might
1269,sienna steel tomato grey indian,Manufacturer#5,Brand#51,SMALL PLATED STEEL,28,WRAP CAN,1170,ly regular packages
